
"id","comment","annotation"
"1534","শিরনামটি হওয়া উচিত - গ্লোড ও আলিন দারদের খেলার সুযোগ না থাকায় , ভারত চাপের মুখে","negative"
"1534","শিরনামটি হওয়া উচিত - গ্লোড ও আলিন দারদের খেলার সুযোগ না থাকায় , ভারত চাপের মুখে","ambiguous"
"1535","বাংলা বলতে পশচিমবংগ ও বাংলাদেশ উভয়কেই বোঝায় কিন্তু আমরা তো মুলত বাংলাদেশি, তাই আমাদের বাংলাদেশ ই বলা উচিত","positive"
"1535","বাংলা বলতে পশচিমবংগ ও বাংলাদেশ উভয়কেই বোঝায় কিন্তু আমরা তো মুলত বাংলাদেশি, তাই আমাদের বাংলাদেশ ই বলা উচিত","neutral"
"1536","রহস্যটা শুধু সাধারন মানুশদেরকে আপনাদের পেটরল বোমা থেকে বাচানর ...... আর কিছুই না","positive"
"1536","রহস্যটা শুধু সাধারন মানুশদেরকে আপনাদের পেটরল বোমা থেকে বাচানর ...... আর কিছুই না","negative"
"1537","সামনে আগায়ে যাও এই ম্যাচে অনেক কিছু পেয়েছো ভাল লাগলো","positive"
"1537","সামনে আগায়ে যাও এই ম্যাচে অনেক কিছু পেয়েছো ভাল লাগলো","positive"
"1538","রানার এর নিয়ম এখন নাই","neutral"
"1539","মনে হয় ফ্রুটিকা বাংলালিংকের দামে পাওয়া যাচ্ছে","ambiguous"
"1539","মনে হয় ফ্রুটিকা বাংলালিংকের দামে পাওয়া যাচ্ছে","ambiguous"
"1540","চোরা কারবারি সবসমই চোরা কারবারি এদের থেকে সাবধান","negative"
"1540","চোরা কারবারি সবসমই চোরা কারবারি এদের থেকে সাবধান","negative"
"1541","যে দেশের শাসন ব্যবস্থায় সুশাসন টোটালী অনুপস্থিত থাকে, সেই দেশে কোন অর্গানই ঠিক মত কাজ করবার কথা নয়","negative"
"1541","যে দেশের শাসন ব্যবস্থায় সুশাসন টোটালী অনুপস্থিত থাকে, সেই দেশে কোন অর্গানই ঠিক মত কাজ করবার কথা নয়","negative"
"1542","ভালো কথা","positive"
"1542","ভালো কথা","positive"
"1543","এ মুহুর্তে দেশে মানুষ চরম অস্তিত্ব সংকটে ভুগছে, হ্যা, স্রেফ বেঁচে থাকার অস্তিত্ব! সামর্থ্য থাকে তো এসব নিয়ে কথা বলুন","negative"
"1543","এ মুহুর্তে দেশে মানুষ চরম অস্তিত্ব সংকটে ভুগছে, হ্যা, স্রেফ বেঁচে থাকার অস্তিত্ব! সামর্থ্য থাকে তো এসব নিয়ে কথা বলুন","negative"
"1544","সংবিধান আরেকটু কাটছাট করে নিলেই তো ল্যাঠা চুকে যায়","negative"
"1544","সংবিধান আরেকটু কাটছাট করে নিলেই তো ল্যাঠা চুকে যায়","ambiguous"
"1545","একটা মানুষকে কিভাবে কিভাবে মারা সম্ভব সেটা আবিস্কার করেন","negative"
"1545","একটা মানুষকে কিভাবে কিভাবে মারা সম্ভব সেটা আবিস্কার করেন","negative"
"1546","আমাদের দেশে এখন একটি নতুন শ্রেণী সৃষ্টি হয়েছে - সবজান্তা সুশীল শ্রেণী","negative"
"1546","আমাদের দেশে এখন একটি নতুন শ্রেণী সৃষ্টি হয়েছে - সবজান্তা সুশীল শ্রেণী","ambiguous"
"1547","যদিও লেখাটি ক্ষেত্র বিশেষে স্বনিয়ন্ত্রিত তবুও এটি একটি উৎকৃষ্ট দলিল, এরকম অসংখ্য দলিলের নির্যাস থেকেই তৈরী হয় ইতিহাস, সুতরাং এখন যা বলা হচ্ছে ভবিষ্যতের ইতিহাসে তার অনেক কিছুই অন্তর্ভূক্ত থাকবে না","negative"
"1547","যদিও লেখাটি ক্ষেত্র বিশেষে স্বনিয়ন্ত্রিত তবুও এটি একটি উৎকৃষ্ট দলিল, এরকম অসংখ্য দলিলের নির্যাস থেকেই তৈরী হয় ইতিহাস, সুতরাং এখন যা বলা হচ্ছে ভবিষ্যতের ইতিহাসে তার অনেক কিছুই অন্তর্ভূক্ত থাকবে না","positive"
"1548","ভালই বলেছেন","positive"
"1548","ভালই বলেছেন","positive"
"1549","লেখকের লেখা যুক্তিসংগত মনে হচ্ছে","positive"
"1549","লেখকের লেখা যুক্তিসংগত মনে হচ্ছে","positive"
"1550","এটা জাপানের আর্জেন্টাইন সাপোর্টার-রাই করছে","positive"
"1550","এটা জাপানের আর্জেন্টাইন সাপোর্টার-রাই করছে","neutral"
"1551","ওরা কেন গেলো আন্দলন করতে","negative"
"1551","ওরা কেন গেলো আন্দলন করতে","ambiguous"
"1552","নির্মাণ খরচ কি আসলেই এত বেশি?","negative"
"1552","নির্মাণ খরচ কি আসলেই এত বেশি?","neutral"
"1553","দাদা এই তো সুযোগ... আরো মারেন","ambiguous"
"1553","দাদা এই তো সুযোগ... আরো মারেন","positive"
"1554","তুখোড় লিখেছেন আনিসুল হক","positive"
"1554","তুখোড় লিখেছেন আনিসুল হক","positive"
"1555","তামিমের ভুলটা আমরা জয়ের আনন্দে ঢেকে ফেলেছি","positive"
"1555","তামিমের ভুলটা আমরা জয়ের আনন্দে ঢেকে ফেলেছি","positive"
"1556","রমজানে যে পরিমানে বহুপদের খাবার খাওয়া আর দিনরাতের অনেকটা সময় ঘুমানো হয় এবং যে পরিমানে শপিং করা হয়, তা কি আদৌ সংযম","negative"
"1556","রমজানে যে পরিমানে বহুপদের খাবার খাওয়া আর দিনরাতের অনেকটা সময় ঘুমানো হয় এবং যে পরিমানে শপিং করা হয়, তা কি আদৌ সংযম","negative"
"1557","আপনাদের মতো ছাত্রলীগ চাঁদা চাইয়া বইসা থাকে","negative"
"1557","আপনাদের মতো ছাত্রলীগ চাঁদা চাইয়া বইসা থাকে","ambiguous"
"1558","মস্কোর ত্যাজ্য করা এতিম 'সমাজতন্ত্রী'রা আওয়ামী বারান্দায় ভিক্ষার জায়গা নিয়ে এখন অন্যকে পথভ্রষ্ট বলতে আসে","negative"
"1558","মস্কোর ত্যাজ্য করা এতিম 'সমাজতন্ত্রী'রা আওয়ামী বারান্দায় ভিক্ষার জায়গা নিয়ে এখন অন্যকে পথভ্রষ্ট বলতে আসে","negative"
"1559","মনে শক্তি রাখ","positive"
"1559","মনে শক্তি রাখ","positive"
"1560","ঘটনাস্থল থেকে আটকের তথ্য আনুষ্ঠানিকভাবে প্রকাশ’ করা হয়েছে","neutral"
"1560","ঘটনাস্থল থেকে আটকের তথ্য আনুষ্ঠানিকভাবে প্রকাশ’ করা হয়েছে","neutral"
"1561","রাজনীতি হওয়া উচিত দেশের স্বার্থে, টাকার পিছনে না দৌড়ানো সেজন্য বর্তমানে পাবলিক বিশ্ববিদ্যালয়ে মারামারি হচ্ছে","negative"
"1561","রাজনীতি হওয়া উচিত দেশের স্বার্থে, টাকার পিছনে না দৌড়ানো সেজন্য বর্তমানে পাবলিক বিশ্ববিদ্যালয়ে মারামারি হচ্ছে","ambiguous"
"1562","বিধ্বংসী ফর্ম এ থাকা ফেদেরার আর এখনকার ফেদেরারের মধ্যে অনেক পার্থক্য","negative"
"1562","বিধ্বংসী ফর্ম এ থাকা ফেদেরার আর এখনকার ফেদেরারের মধ্যে অনেক পার্থক্য","ambiguous"
"1563","এই খবর ২ দিন আগেই এসেছে অন্য পত্রিকাতে","negative"
"1563","এই খবর ২ দিন আগেই এসেছে অন্য পত্রিকাতে","neutral"
"1564","কারও পখে বলার মত কিছু নাই","negative"
"1564","কারও পখে বলার মত কিছু নাই","ambiguous"
"1565","তামিমের রানের সংখ্যা ভুল হয়েছে, ৯৫ হবে সঠিক সংখ্যা ৯৩ নয়","negative"
"1565","তামিমের রানের সংখ্যা ভুল হয়েছে, ৯৫ হবে সঠিক সংখ্যা ৯৩ নয়","neutral"
"1566","ভাই মনে হয় সরকারি চাকরিজীবি, না হলে এটা বলতে পারতেন না","negative"
"1566","ভাই মনে হয় সরকারি চাকরিজীবি, না হলে এটা বলতে পারতেন না","ambiguous"
"1567","একমত পোষণ করছি","positive"
"1567","একমত পোষণ করছি","positive"
"1568","মেরুদন্ডহীন টিম ম্যানেজমেন্ট","negative"
"1568","মেরুদন্ডহীন টিম ম্যানেজমেন্ট","negative"
"1569","শুধু আওয়ামী লীগ ই চায় না কোনো কথা বলতে","negative"
"1569","শুধু আওয়ামী লীগ ই চায় না কোনো কথা বলতে","ambiguous"
"1570","ইমরুল কায়েসের জন্য","neutral"
"1570","ইমরুল কায়েসের জন্য","neutral"
"1571","গো অ্যাহেড নেইমার","positive"
"1571","গো অ্যাহেড নেইমার","positive"
"1572","সময়োচিত লেখা লিখে আপনি আপনার দায়িত্ব পালন করেছেন","positive"
"1572","সময়োচিত লেখা লিখে আপনি আপনার দায়িত্ব পালন করেছেন","positive"
"1573","যারা ঐদিন ঘটনাটা সরাসরি দেখেছিল তাদের ও শাসতি হউয়া উচিৎ","negative"
"1573","যারা ঐদিন ঘটনাটা সরাসরি দেখেছিল তাদের ও শাসতি হউয়া উচিৎ","negative"
"1574","খুব ভাল বলেসেন সার","positive"
"1574","খুব ভাল বলেসেন সার","positive"
"1575","মাঝে মহিলাটির চরিত্র খারাপ পুলিশ তাই প্রমান করে ছাড়বে","negative"
"1575","মাঝে মহিলাটির চরিত্র খারাপ পুলিশ তাই প্রমান করে ছাড়বে","ambiguous"
"1576","ভাল খেলে দেখিয়ে দিতে হবে যে আমরাও পারি....... কোনভাবেই আমাদের দমিয়ে রাখা যাবে না","positive"
"1576","ভাল খেলে দেখিয়ে দিতে হবে যে আমরাও পারি....... কোনভাবেই আমাদের দমিয়ে রাখা যাবে না","positive"
"1577","এখন হাজিবাজি খেলা চলছে","negative"
"1577","এখন হাজিবাজি খেলা চলছে","negative"
"1578","সাবাশ","positive"
"1578","সাবাশ","positive"
"1579","তাঁর মৃত্যুর পর যত নায়ক ই আসুক না কেন কেউই সালমান শাহ্‌র ধারে কাছে পৌঁছতে পারেনি","positive"
"1579","তাঁর মৃত্যুর পর যত নায়ক ই আসুক না কেন কেউই সালমান শাহ্‌র ধারে কাছে পৌঁছতে পারেনি","positive"
"1580","কারন এটা হ্যাক করা বেসম্ভব ব্যাপার তাই নয় কি ?","negative"
"1580","কারন এটা হ্যাক করা বেসম্ভব ব্যাপার তাই নয় কি ?","ambiguous"
"1581","একাত্তরের শহীদের আত্মা আমাদের অভিশাপ দেবে না তো কাকে অভিসম্পাত করবে?","negative"
"1581","একাত্তরের শহীদের আত্মা আমাদের অভিশাপ দেবে না তো কাকে অভিসম্পাত করবে?","negative"
"1582","সরকার দল কিছু বললে বিরুধি দল তার উলটোটা বলেন আবার বিরুধি কিছু বললে সরকারি দল তার উলটোটা বলেন","negative"
"1582","সরকার দল কিছু বললে বিরুধি দল তার উলটোটা বলেন আবার বিরুধি কিছু বললে সরকারি দল তার উলটোটা বলেন","ambiguous"
"1583","বিএনপির যুগ্ম মহাসচিব রুহুল কবীর রিজভী আসলেই একটা","ambiguous"
"1583","বিএনপির যুগ্ম মহাসচিব রুহুল কবীর রিজভী আসলেই একটা","ambiguous"
"1584","কিন্তু এখন দাদাদের পেয়ে লক্ষ্যটা চলে গেছে সেমি ফাইনালে","positive"
"1584","কিন্তু এখন দাদাদের পেয়ে লক্ষ্যটা চলে গেছে সেমি ফাইনালে","positive"
"1585","এটা নিশ্চই শিবির ও মৌলবাদীদের কাজ","negative"
"1585","এটা নিশ্চই শিবির ও মৌলবাদীদের কাজ","ambiguous"
"1586","বেয়াদবের কি দেখলেন ? এই অলরাউন্ডারকে ছাড়া নেপালের কাছেও হারতে হবে","positive"
"1586","বেয়াদবের কি দেখলেন ? এই অলরাউন্ডারকে ছাড়া নেপালের কাছেও হারতে হবে","negative"
"1587","এমনিতে ধোনি আজকে খুব টেনশনে ছিলো, কারন ওদের ২ জন খেলোয়াড় আজকে ফর্ম এ নাই... আম্পায়ার ২ জন |তার মধ্যে আবার প্রেসার","negative"
"1587","এমনিতে ধোনি আজকে খুব টেনশনে ছিলো, কারন ওদের ২ জন খেলোয়াড় আজকে ফর্ম এ নাই... আম্পায়ার ২ জন |তার মধ্যে আবার প্রেসার","neutral"
"1588","প্রশাসন আর কত নাকে সড়িষার তৈল দিবে???","ambiguous"
"1588","প্রশাসন আর কত নাকে সড়িষার তৈল দিবে???","negative"
"1589","আমি ও নতুন ফ্রিল্যানসার","positive"
"1589","আমি ও নতুন ফ্রিল্যানসার","neutral"
"1590","ঠিক কাজই করেছে পুলিশ","positive"
"1590","ঠিক কাজই করেছে পুলিশ","positive"
"1591","এখন ৫ বছর সময় পেয়েছেন এটা শেখার জন্য","positive"
"1591","এখন ৫ বছর সময় পেয়েছেন এটা শেখার জন্য","neutral"
"1592","ভিক্ষা করে খেতে হবে তাঁকে! হাসতে হাসতে পেট ব্যাথা হয়ে গেল","ambiguous"
"1592","ভিক্ষা করে খেতে হবে তাঁকে! হাসতে হাসতে পেট ব্যাথা হয়ে গেল","ambiguous"
"1593","আমরা বিশ্বাস করি ওটার রিপিট আবারও করতে পারবো","neutral"
"1593","আমরা বিশ্বাস করি ওটার রিপিট আবারও করতে পারবো","neutral"
"1594","সরকারের মনোভাব বুঝতে বুজতে আর কত বছর লাগবে ? সরাকারের মনোভাব না বুঝেই এতদিন আন্দোলন করলো বিএনপি? মারতে মারতে গর্তে ঢুকিয়েছে তারপরো মনোভাব বুজতে পারছেনা ?","negative"
"1594","সরকারের মনোভাব বুঝতে বুজতে আর কত বছর লাগবে ? সরাকারের মনোভাব না বুঝেই এতদিন আন্দোলন করলো বিএনপি? মারতে মারতে গর্তে ঢুকিয়েছে তারপরো মনোভাব বুজতে পারছেনা ?","negative"
"1595","ভারতের শাহরুক খানের “মাই নেম ইজ খান” একদম বাজে ছবি","negative"
"1595","ভারতের শাহরুক খানের “মাই নেম ইজ খান” একদম বাজে ছবি","negative"
"1596","দক্ষতাবিহীন সততাতো চিরকালই অকার্যকর","negative"
"1596","দক্ষতাবিহীন সততাতো চিরকালই অকার্যকর","negative"
"1597","সবাই অংশগ্রহন না করলে নিজেরাই সিল মেরে নাকি ?","negative"
"1597","সবাই অংশগ্রহন না করলে নিজেরাই সিল মেরে নাকি ?","ambiguous"
"1598","মিজানুর রহমান খান , কিযে লেখেন না ভই আপনি? আমাদের মেজরিটী আছে যা খুসী তাই কোরবো","negative"
"1598","মিজানুর রহমান খান , কিযে লেখেন না ভই আপনি? আমাদের মেজরিটী আছে যা খুসী তাই কোরবো","ambiguous"
"1599","তনু, সাগর রুনি, চন্দন সরকার, ইলিয়াস আলীদের মতো হাজারো হারিয়ে যাওয়াদের কথা কেবল আমাদের মনে পড়বে","negative"
"1599","তনু, সাগর রুনি, চন্দন সরকার, ইলিয়াস আলীদের মতো হাজারো হারিয়ে যাওয়াদের কথা কেবল আমাদের মনে পড়বে","ambiguous"
"1600","আবার হবে লুটপাট","negative"
"1601","আমার ভয় হয় এই কারটুনিসট কে না কালকেই পুলিশ দিয়ে ধরা হয় কিংবা ফায়ার ? এত বড় সাহস তাদের নেতার এমন ছবি ?","negative"
"1601","আমার ভয় হয় এই কারটুনিসট কে না কালকেই পুলিশ দিয়ে ধরা হয় কিংবা ফায়ার ? এত বড় সাহস তাদের নেতার এমন ছবি ?","ambiguous"
"1601","আমার ভয় হয় এই কারটুনিসট কে না কালকেই পুলিশ দিয়ে ধরা হয় কিংবা ফায়ার ? এত বড় সাহস তাদের নেতার এমন ছবি ?","negative"
"1601","আমার ভয় হয় এই কারটুনিসট কে না কালকেই পুলিশ দিয়ে ধরা হয় কিংবা ফায়ার ? এত বড় সাহস তাদের নেতার এমন ছবি ?","positive"
"1602","সুন্দর লিখাটির জন্য জনাব আদনান মুকিত'কে ধন্যবাদ","positive"
"1602","সুন্দর লিখাটির জন্য জনাব আদনান মুকিত'কে ধন্যবাদ","positive"
"1602","সুন্দর লিখাটির জন্য জনাব আদনান মুকিত'কে ধন্যবাদ","positive"
"1602","সুন্দর লিখাটির জন্য জনাব আদনান মুকিত'কে ধন্যবাদ","positive"
"1603","পশ্চিমা সংবাদ মাধ্যম গুলির অপপ্রচার থেকে বাংলাদেশকে সাবধান থাকতে হবে","negative"
"1603","পশ্চিমা সংবাদ মাধ্যম গুলির অপপ্রচার থেকে বাংলাদেশকে সাবধান থাকতে হবে","neutral"
"1603","পশ্চিমা সংবাদ মাধ্যম গুলির অপপ্রচার থেকে বাংলাদেশকে সাবধান থাকতে হবে","negative"
"1603","পশ্চিমা সংবাদ মাধ্যম গুলির অপপ্রচার থেকে বাংলাদেশকে সাবধান থাকতে হবে","positive"
"1604","এবার ভোট হোক","neutral"
"1604","এবার ভোট হোক","neutral"
"1604","এবার ভোট হোক","neutral"
"1604","এবার ভোট হোক","ambiguous"
"1605","জর্জ মিয়া নাটকের কথা বলছেন ? ওটা যারা করেছে তারা এখন নাটক না করে মানুষ পুড়িয়ে মারে","negative"
"1605","জর্জ মিয়া নাটকের কথা বলছেন ? ওটা যারা করেছে তারা এখন নাটক না করে মানুষ পুড়িয়ে মারে","negative"
"1605","জর্জ মিয়া নাটকের কথা বলছেন ? ওটা যারা করেছে তারা এখন নাটক না করে মানুষ পুড়িয়ে মারে","negative"
"1605","জর্জ মিয়া নাটকের কথা বলছেন ? ওটা যারা করেছে তারা এখন নাটক না করে মানুষ পুড়িয়ে মারে","negative"
"1606","অবশ্যই নিষ্ক্রিয়তা ক্ষতিকর","negative"
"1606","অবশ্যই নিষ্ক্রিয়তা ক্ষতিকর","negative"
"1606","অবশ্যই নিষ্ক্রিয়তা ক্ষতিকর","negative"
"1606","অবশ্যই নিষ্ক্রিয়তা ক্ষতিকর","negative"
"1607","এইদিকে পূরো দেশের উপর একনায়কতান্ত্রিকতা ভর করে আছে উনি পড়ে আছেন খালেদা জিয়া এবং তারেক জিয়া নিয়ে","negative"
"1607","এইদিকে পূরো দেশের উপর একনায়কতান্ত্রিকতা ভর করে আছে উনি পড়ে আছেন খালেদা জিয়া এবং তারেক জিয়া নিয়ে","ambiguous"
"1607","এইদিকে পূরো দেশের উপর একনায়কতান্ত্রিকতা ভর করে আছে উনি পড়ে আছেন খালেদা জিয়া এবং তারেক জিয়া নিয়ে","negative"
"1607","এইদিকে পূরো দেশের উপর একনায়কতান্ত্রিকতা ভর করে আছে উনি পড়ে আছেন খালেদা জিয়া এবং তারেক জিয়া নিয়ে","neutral"
"1608","এখন বুঝলাম শুধু ভারত ছাড়া","ambiguous"
"1608","এখন বুঝলাম শুধু ভারত ছাড়া","ambiguous"
"1608","এখন বুঝলাম শুধু ভারত ছাড়া","ambiguous"
"1608","এখন বুঝলাম শুধু ভারত ছাড়া","negative"
"1609","নেইমারকে সত্যিই মিস করবো তবে সিলভা এর অভাবও অপূরণীয়","positive"
"1609","নেইমারকে সত্যিই মিস করবো তবে সিলভা এর অভাবও অপূরণীয়","neutral"
"1609","নেইমারকে সত্যিই মিস করবো তবে সিলভা এর অভাবও অপূরণীয়","neutral"
"1609","নেইমারকে সত্যিই মিস করবো তবে সিলভা এর অভাবও অপূরণীয়","positive"
"1610","দাবা সম্পর্কে মিডিয়ার উদাসীনতাই এই অবস্থার জন্য দায়ী","negative"
"1610","দাবা সম্পর্কে মিডিয়ার উদাসীনতাই এই অবস্থার জন্য দায়ী","negative"
"1610","দাবা সম্পর্কে মিডিয়ার উদাসীনতাই এই অবস্থার জন্য দায়ী","negative"
"1610","দাবা সম্পর্কে মিডিয়ার উদাসীনতাই এই অবস্থার জন্য দায়ী","ambiguous"
"1611","ইয়েস","ambiguous"
"1611","ইয়েস","ambiguous"
"1611","ইয়েস","positive"
"1611","ইয়েস","negative"
"1612","স্কটল্যান্ড কে অধিনায়কই রান বেড়ে দিয়েছ, উনি জেনেও স্পিন দিয়ে খেলে নাই কেন?","negative"
"1612","স্কটল্যান্ড কে অধিনায়কই রান বেড়ে দিয়েছ, উনি জেনেও স্পিন দিয়ে খেলে নাই কেন?","positive"
"1612","স্কটল্যান্ড কে অধিনায়কই রান বেড়ে দিয়েছ, উনি জেনেও স্পিন দিয়ে খেলে নাই কেন?","negative"
"1612","স্কটল্যান্ড কে অধিনায়কই রান বেড়ে দিয়েছ, উনি জেনেও স্পিন দিয়ে খেলে নাই কেন?","positive"
"1613","বিশ্বকাপ মেসির হাতে উঠার জন্য অপেক্কা করছে","positive"
"1613","বিশ্বকাপ মেসির হাতে উঠার জন্য অপেক্কা করছে","neutral"
"1613","বিশ্বকাপ মেসির হাতে উঠার জন্য অপেক্কা করছে","positive"
"1613","বিশ্বকাপ মেসির হাতে উঠার জন্য অপেক্কা করছে","positive"
"1614","ভাবিনি স্পেন এভাবে বিদায় নিবে","ambiguous"
"1614","ভাবিনি স্পেন এভাবে বিদায় নিবে","neutral"
"1614","ভাবিনি স্পেন এভাবে বিদায় নিবে","neutral"
"1614","ভাবিনি স্পেন এভাবে বিদায় নিবে","negative"
"1615","শাস্ত্রমতে, একদিন দু:স্কৃতিকারীরাই দেশের রাজা হবে !!! আর যারা দুই একজন ভাল ব্যক্তিত্ব থাকবেন!, তাদেরকেই বিচারের কাঠগড়ায় দাড়াতে হবে !!! কিন্তু সেই সময় এখনও অনেক দূরে !! তবে কেন ?? সমাজের এই বেহাল অবস্থা ???","ambiguous"
"1615","শাস্ত্রমতে, একদিন দু:স্কৃতিকারীরাই দেশের রাজা হবে !!! আর যারা দুই একজন ভাল ব্যক্তিত্ব থাকবেন!, তাদেরকেই বিচারের কাঠগড়ায় দাড়াতে হবে !!! কিন্তু সেই সময় এখনও অনেক দূরে !! তবে কেন ?? সমাজের এই বেহাল অবস্থা ???","negative"
"1615","শাস্ত্রমতে, একদিন দু:স্কৃতিকারীরাই দেশের রাজা হবে !!! আর যারা দুই একজন ভাল ব্যক্তিত্ব থাকবেন!, তাদেরকেই বিচারের কাঠগড়ায় দাড়াতে হবে !!! কিন্তু সেই সময় এখনও অনেক দূরে !! তবে কেন ?? সমাজের এই বেহাল অবস্থা ???","negative"
"1615","শাস্ত্রমতে, একদিন দু:স্কৃতিকারীরাই দেশের রাজা হবে !!! আর যারা দুই একজন ভাল ব্যক্তিত্ব থাকবেন!, তাদেরকেই বিচারের কাঠগড়ায় দাড়াতে হবে !!! কিন্তু সেই সময় এখনও অনেক দূরে !! তবে কেন ?? সমাজের এই বেহাল অবস্থা ???","positive"
"1616","একজন শামীম ওসমান হতে পারলে সরকার ও দেশের মুখ উজ্জল করতে পারতাম","positive"
"1616","একজন শামীম ওসমান হতে পারলে সরকার ও দেশের মুখ উজ্জল করতে পারতাম","negative"
"1617","ধোনির ম্যাচ পরবর্তী সংবাদ সম্মেলন খুব ভাল লেগেছে","positive"
"1617","ধোনির ম্যাচ পরবর্তী সংবাদ সম্মেলন খুব ভাল লেগেছে","ambiguous"
"1618","ভারতিয় দের রাতের ঘুম হারাম করে দিল!!!!!!!! হা হা হা","ambiguous"
"1618","ভারতিয় দের রাতের ঘুম হারাম করে দিল!!!!!!!! হা হা হা","ambiguous"
"1619","৫২৯ !!!!!!!!!! :O :O","ambiguous"
"1619","৫২৯ !!!!!!!!!! :O :O","neutral"
"1620","মাননীয় প্রধানমন্তী প্রিয় প্রধানমন্তী মাননীয় জননেত্রী দয়াকরে কিছু একটা করুন আমাদের (সাধারন জনগন কে বাঁচান","ambiguous"
"1620","মাননীয় প্রধানমন্তী প্রিয় প্রধানমন্তী মাননীয় জননেত্রী দয়াকরে কিছু একটা করুন আমাদের (সাধারন জনগন কে বাঁচান","negative"
"1621","আই এস এরা হল ইসলামের সত্রু মুসলিম জাহানের কলঙ্ক","negative"
"1621","আই এস এরা হল ইসলামের সত্রু মুসলিম জাহানের কলঙ্ক","negative"
"1622","৫ম শ্রেনির শিক্ষা্্থী এর পরের বছর ষষ্ঠ শ্রেনিতে পড়েেবে","neutral"
"1622","৫ম শ্রেনির শিক্ষা্্থী এর পরের বছর ষষ্ঠ শ্রেনিতে পড়েেবে","neutral"
"1623","চুক্তির আগেই যদি অরবিন্দ বাজখোয়াসহ দুর্ধর্ষ উলফা নেতাদের বাংলাদেশ ভারতের হাতে তুলে দিতে পারে, পুঁচকে নূর হোসেনকে কেন ভারত বাংলাদেশের হাতে তুলে দিতে পারবে না?","negative"
"1623","চুক্তির আগেই যদি অরবিন্দ বাজখোয়াসহ দুর্ধর্ষ উলফা নেতাদের বাংলাদেশ ভারতের হাতে তুলে দিতে পারে, পুঁচকে নূর হোসেনকে কেন ভারত বাংলাদেশের হাতে তুলে দিতে পারবে না?","neutral"
"1624","হে আললাহ আমাদের দেশ ও বিশ্বকে ইসলামের দুশমন থেকে রক্কা করো","positive"
"1624","হে আললাহ আমাদের দেশ ও বিশ্বকে ইসলামের দুশমন থেকে রক্কা করো","neutral"
"1625","গত পাঁচ বছরে প্রশ্নপত্র ফাঁস হয়নি স্যার !!! সব কমন পড়েছিল","ambiguous"
"1625","গত পাঁচ বছরে প্রশ্নপত্র ফাঁস হয়নি স্যার !!! সব কমন পড়েছিল","negative"
"1626","সরি","ambiguous"
"1626","সরি","neutral"
"1627","আমার দেখা অন্যতম সেরা ইনিংস","positive"
"1627","আমার দেখা অন্যতম সেরা ইনিংস","positive"
"1628","তবে মাঠে মাশরাফির গেইম পরিকল্পনা ঠিকই আছে","positive"
"1628","তবে মাঠে মাশরাফির গেইম পরিকল্পনা ঠিকই আছে","positive"
"1629","এমন নির্বাচনী নাটক দেথার আশা ছিল না","negative"
"1629","এমন নির্বাচনী নাটক দেথার আশা ছিল না","negative"
"1630","শুভ নববর্ষ","positive"
"1630","শুভ নববর্ষ","positive"
"1631","ভারত তার স্বার্থের বিষয়ে যতটা মনোযোগী আমরা ততটাই উদাসীন","negative"
"1631","ভারত তার স্বার্থের বিষয়ে যতটা মনোযোগী আমরা ততটাই উদাসীন","negative"
"1632","আরে আবিদ ভাই রাগ করেন কেন ! নতুন নতুন ক্রিকেট খেলার দর্শক আমাদের, সবে ক্রিকেট খেলা দেখতে শুরু করেছে তারা একটু এদিক সেদিক বলতেই পারে","positive"
"1632","আরে আবিদ ভাই রাগ করেন কেন ! নতুন নতুন ক্রিকেট খেলার দর্শক আমাদের, সবে ক্রিকেট খেলা দেখতে শুরু করেছে তারা একটু এদিক সেদিক বলতেই পারে","neutral"
"1633","বাংলাদেশের একটাই চাওয়া, ইডেন যেন আজ ‘মিরপুর’ হয়ে যায়","positive"
"1633","বাংলাদেশের একটাই চাওয়া, ইডেন যেন আজ ‘মিরপুর’ হয়ে যায়","neutral"
"1634","সাধারণ মানুষদের এতটা কষ্ট দেওয়ার পরেও জনগণ লম্বা লাইন ধরে ভোট দিবে দাদী আম্মাদের","negative"
"1634","সাধারণ মানুষদের এতটা কষ্ট দেওয়ার পরেও জনগণ লম্বা লাইন ধরে ভোট দিবে দাদী আম্মাদের","negative"
"1635","কারণ বাংলাদেশ টিমে সে চান্সই পেতো না","neutral"
"1635","কারণ বাংলাদেশ টিমে সে চান্সই পেতো না","negative"
"1636","গোলডেন বুটের লড়াইয়ে রেফারিই এগিয়ে","ambiguous"
"1636","গোলডেন বুটের লড়াইয়ে রেফারিই এগিয়ে","ambiguous"
"1637","ভাল কথা লিখছেন","positive"
"1637","ভাল কথা লিখছেন","positive"
"1638","বি এন পি সব সময় জনগনকে ভয় পায়","negative"
"1638","বি এন পি সব সময় জনগনকে ভয় পায়","neutral"
"1639","অথচ বাংলাদেশে হলে এই ঘটনা নিয়ে কত কানাঘুষা হত","negative"
"1639","অথচ বাংলাদেশে হলে এই ঘটনা নিয়ে কত কানাঘুষা হত","negative"
"1640","এরা সব সময় নিজের স্বার্থ টা বোঝে","negative"
"1640","এরা সব সময় নিজের স্বার্থ টা বোঝে","negative"
"1641","এটা নিশ্চয়ই বি.এন.পি-জামাত এর ষড়যন্ত্র","negative"
"1642","অভিনন্দন","positive"
